idx,회사명,주당액면가액(원)당기,주당액면가액(원)전기,주당액면가액(원)전전기,(연결)당기순이익(백만원)당기,(연결)당기순이익(백만원)전기,(연결)당기순이익(백만원)전전기,(별도)당기순이익(백만원)당기,(별도)당기순이익(백만원)전기,(별도)당기순이익(백만원)전전기,주식 유형1,유형1 예측,유형1 당기,유형1 전기,유형1 전전기,주식 유형2,유형2 예측,유형2 당기,유형2 전기,유형2 전전기,주식 유형3,유형3 예측,유형3 당기,유형3 전기,유형3 전전기
706,신흥,500,500,500,2044,3054,3167,770,2654,3264,주당 현금배당금(원)보통주(1)당기,200,200,200,200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
707,롯데칠성음료,500,5000,5000,-142432,-48050,134635,-112294,-54568,151579,주당 현금배당금(원)보통주(1)당기,-24550,2700,27000,33000,주당 현금배당금(원)우선주(1)당기,-24582,2705,27050,33050,NULL,NULL,NULL,NULL,NULL
708,HDC현대산업개발,5000,5000,NULL,413670,229853,NULL,425723,227726,NULL,주당 현금배당금(원)보통주(1)당기,500,500,500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
709,그린케미칼,500,500,500,5580,2513,2523,NULL,NULL,NULL,주당 현금배당금(원)보통주식(1)당기,-113,170,160,410,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
710,NAVER,100,100,500,583052,648813,772880,1092525,900423,849412,주당 현금배당금(원)보통주(1)당기,-892,376,314,1446,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
711,진성티이씨,500,500,500,22006,21691,10018,19068,18889,8389,주당 현금배당금(원)보통주(1)당기,223,200,200,180,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
712,대창스틸,500,500,500,28,-19575,1889,-1816,-1036,187,주당 현금배당금(원)보통주(1)당기,100,100,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
713,쎄니트,500,500,500,1920,3207,6746,-305,156,1935,주당 현금배당금(원)(1)당기,30,30,30,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
714,천일고속,5000,5000,5000,722,-207,27103,NULL,NULL,NULL,주당 현금배당금(원)보통주(1)당기,-6683,5000,6000,15300,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
715,동국제강,5000,5000,5000,-68509,-297855,4530,-129997,-444923,70268,주당 현금배당금(원)보통주(1)당기,100,NULL,NULL,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
716,이마트,5000,5000,5000,233895,450188,616081,291146,361994,640880,주당 현금배당금(원)보통주(1)당기,2291,2000,2000,1750,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
717,용평리조트,5000,5000,5000,-13792,10186,16953,-13879,10162,16971,주당 현금배당금(원)보통주(1)당기,-19,NULL,70,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
718,네오오토,500,500,500,2498,5798,4136,2498,5798,4136,주당 현금배당금(원)보통주(1)당기,18,50,60,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
719,금양,500,500,500,-10871,20247,18672,-12753,16116,367,주당 현금배당금(원)보통주(1)당기,80,NULL,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
720,진도,500,500,500,-2731,5597,9500,-2728,5625,9643,주당 현금배당금(원)보통주(1)당기,-81,100,150,270,주당 현금배당금(원)우선주(1)당기,-71,110,160,280,NULL,NULL,NULL,NULL,NULL
721,부산산업,5000,5000,5000,3890,3028,3128,-373,2239,864,주당 현금배당금(원)보통주(1)당기,250,250,250,250,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
722,에스에프에이,500,500,500,131987,157949,196930,162393,142578,178761,주당 현금배당금(원)보통주(1)당기,909,1056,1278,1245,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
723,대창,500,500,500,4691,12426,14271,3646,13810,5501,주당 현금배당금(원)보통주(1)당기,0,10,30,25,주당 현금배당금(원)우선주(1)당기,4,15,35,30,NULL,NULL,NULL,NULL,NULL
724,아이에이치큐,500,500,500,-66212,-10097,2499,-72019,-10195,1281,주당 현금배당금(원)보통주(1)당기,104,NULL,104,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
725,스맥,500,500,500,-16987,-1675,334,-15182,1203,382,주당 현금배당금(원)(1)당기,50,NULL,50,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
726,코메론,500,500,500,14303,12241,9501,11722,11512,12751,주당 현금배당금(원)보통주(1)당기,261,200,140,130,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
727,비트컴퓨터,500,500,500,7093,-234,3583,6174,-147,3823,주당 현금배당금(원)보통주(1)당기,61,61,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
728,이노와이어리스,500,500,500,13147,218,-213,6972,-5316,3940,주당 현금배당금(원)보통주(1)당기,250,250,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
729,동원시스템즈,5000,5000,5000,63612,84669,57842,38835,46429,33111,주당 현금배당금(원)(1)당기,791,500,500,250,주당 현금배당금(원)(2)당기,841,550,550,300,NULL,NULL,NULL,NULL,NULL
730,진로발효,500,500,500,14257,14260,15498,14127,14059,15854,주당 현금배당금(원)보통주(1)당기,1591,1350,1200,1100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
731,인포뱅크,500,500,500,1179,3153,1850,553,2625,1480,주당 현금배당금(원)보통주(1)당기,-23,10,50,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
732,까뮤이앤씨,500,500,5000,13495,1739,8437,NULL,NULL,NULL,주당 현금배당금(원)보통주(1)당기,-171,30,20,200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
733,쎄미시스코,500,500,500,NULL,962,3021,NULL,871,2948,주당 현금배당금(원)보통주(1)당기,-69,NULL,20,50,주당 현금배당금(원)우선주(1)당기,20,NULL,20,NULL,NULL,NULL,NULL,NULL,NULL
734,큐에스아이,500,500,500,1104,-353,751,954,-2310,1130,주당 현금배당금(원)보통주(1)당기,40,50,20,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
735,모두투어,500,500,500,1788,12552,24878,4111,17268,23178,주당 현금배당금(원)(1)당기,-188,120,350,450,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
736,HB테크놀러지,500,500,500,3173,6804,NULL,1816,6085,37781,주당 현금배당금(원)보통주(1)당기,-3,20,20,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
737,나이스정보통신,500,500,500,30109,30566,36694,23928,30741,32469,주당 현금배당금(원)(1)당기,574,460,420,350,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
738,비츠로셀,500,500,500,20082,15372,1234,19151,15281,1238,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
739,비츠로테크,500,500,500,29787,15465,10953,891,436,1204,주당 현금배당금(원)보통주(1)당기,50,50,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
740,케이씨티시,500,500,500,7134,7196,8916,8032,9077,7942,주당 현금배당금(원)(1)당기,56,45,45,35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
741,유진테크,500,500,500,5767,19196,27597,32817,41294,32471,주당 현금배당금(원)보통주(1)당기,230,230,230,230,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
742,테크윙,500,500,500,10854,20071,38002,7066,22019,36969,주당 현금배당금(원)(1)당기,230,230,230,230,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
743,대주전자재료,500,500,500,-700,471,-7917,-1852,706,-8612,주당 현금배당금(원)우선주(1)당기,25,NULL,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
744,푸드웰,500,500,500,31094,4502,2599,27995,1455,1192,주당 현금배당금(원)보통주(1)당기,120,100,75,75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
745,노루페인트,500,500,500,18900,12742,29444,15600,14431,20215,주당 현금배당금(원)보통주(1)당기,295,275,250,250,주당 현금배당금(원)우선주(1)당기,300,280,255,255,NULL,NULL,NULL,NULL,NULL
746,GKL,500,500,500,72396,77740,NULL,72039,77616,80359,주당 현금배당금(원)보통주(1)당기,593,659,710,730,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
747,그리티,500,500,500,1563,5130,7925,2627,6019,7757,주당 현금배당금(원)(1)당기,-155,30,180,232,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
748,디지틀조선,500,500,500,3463,5140,5300,3062,5134,4982,주당 현금배당금(원)보통주(1)당기,21,30,40,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
749,대림비앤코,1000,1000,1000,2026,3922,6736,3179,4704,7038,주당 현금배당금(원)보통주(1)당기,136,130,150,130,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
750,디지캡,500,500,500,1274,NULL,NULL,1143,1132,2044,주당 현금배당금(원)(1)당기,70,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
751,베셀,500,500,500,-11047,1281,5012,-11037,1013,4974,주당 현금배당금(원)(1)당기,-49,NULL,100,150,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
752,락앤락,500,500,500,16371,30398,34898,16049,-5416,40748,주당 현금배당금(원)(1)당기,-69,NULL,80,130,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
753,청담러닝,500,500,500,11197,10166,6823,7158,6525,4830,주당 현금배당금(원)보통주(1)당기,1166,1000,800,800,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
754,클래시스,100,100,100,33394,14863,-5128,33323,14866,-5144,주당 현금배당금(원)보통주(1)당기,79,46,14,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
755,이랜시스,100,100,100,1094,NULL,NULL,992,39,7,주당 현금배당금(원)보통주(1)당기,40,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
756,신흥에스이씨,2500,2500,2500,16029,9620,5750,8506,10844,6693,주당 현금배당금(원)보통주(1)당기,446,280,150,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
757,오텍,500,500,500,10689,14832,19691,11051,15427,20043,주당 현금배당금(원)보통주(1)당기,155,130,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
758,세화피앤씨,100,100,100,NULL,NULL,NULL,595,1105,-2703,주당 현금배당금(원)(1)당기,7,10,10,12,주당 현금배당금(원)(2)당기,7,10,10,12,NULL,NULL,NULL,NULL,NULL
759,현대공업,500,500,500,4097,1017,6228,10185,6287,10740,주당 현금배당금(원)보통주식(1)당기,99,66,66,37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
760,삼진엘앤디,500,500,500,460,1739,-12722,5727,1046,-3177,주당 현금배당금(원)(1)당기,75,NULL,75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
761,진에어,1000,1000,1000,NULL,44469,NULL,-56652,44469,74085,주당 현금배당금(원)보통주(1)당기,449,NULL,300,250,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
762,국보디자인,500,500,500,15942,13872,13340,9509,14098,14149,주당 현금배당금(원)일반주(1)당기,316,300,280,280,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
763,성창오토텍,500,500,500,-221,-2263,-1779,-771,-2983,-1181,주당 현금배당금(원)보통주(1)당기,13,30,50,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
764,에어부산,1000,1000,1000,NULL,NULL,NULL,-72910,20294,28464,주당 현금배당금(원)보통주(1)당기,100,NULL,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
765,지누스,500,500,500,72426,43609,45152,41411,12446,25884,주당 현금배당금(원)보통주(1)당기,1250,1250,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
766,EG,1000,1000,1000,-649,-17149,-1001,1478,-16437,-1344,주당 현금배당금(원)보통주(1)당기,50,NULL,50,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
767,화승알앤에이,500,500,500,23034,-33653,-42257,20608,-32726,-36797,주당 현금배당금(원)보통주(1)당기,25,25,25,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
768,쇼박스,500,500,500,3259,4352,15846,3346,5107,15721,주당 현금배당금(원)보통주(1)당기,50,50,50,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
769,동구바이오제약,500,500,500,NULL,NULL,10943,15101,4569,10955,주당 현금배당금(원)(1)당기,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
770,더존비즈온,500,500,500,51026,42515,39151,49544,42962,38060,주당 현금배당금(원)보통주(1)당기,545,470,450,400,주당 현금배당금(원)우선주(1)당기,939,939,NULL,NULL,NULL,NULL,NULL,NULL,NULL
771,더콘텐츠온,500,500,500,NULL,NULL,NULL,1146,239,1043,주당 현금배당금(원)우선주(1)당기,5,NULL,5,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
772,이랜텍,500,500,500,12103,-10873,-1462,-23219,5049,-1007,주당 현금배당금(원)보통주(1)당기,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
773,이화공영,500,500,500,NULL,NULL,NULL,268,474,1638,주당 현금배당금(원)보통주(1)당기,-21,10,20,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
774,윈스,500,500,500,14628,11575,8007,13312,10805,8649,주당 현금배당금(원)보통주(1)당기,386,350,320,310,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
775,플랜티넷,500,500,500,2367,1328,-945,1876,971,-961,주당 현금배당금(원)보통주(1)당기,333,250,150,150,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
776,와이지-원,500,500,500,1391,22008,35323,3085,23698,24046,주당 현금배당금(원)보통주(1)당기,53,120,200,200,주당 현금배당금(원)우선주(1)당기,53,120,200,200,NULL,NULL,NULL,NULL,NULL
777,미원에스씨,500,500,500,39565,35974,17197,39590,NULL,NULL,주당 현금배당금(원)보통주(1)당기,2933,1700,1200,500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
778,미창석유공업,5000,5000,5000,17726,10722,12475,15971,9444,11051,주당 현금배당금(원)보통주(1)당기,2216,2000,1600,1700,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
779,태원물산,500,500,500,NULL,NULL,NULL,538,356,826,주당 현금배당금(원)보통주(1)당기,85,85,70,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
780,한국큐빅,500,500,500,3347,812,625,4419,1964,2329,주당 현금배당금(원)보통주(1)당기,33,25,15,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
781,동방,1000,1000,1000,-8669,15801,-10134,-8598,3565,-17388,주당 현금배당금(원)보통주(1)당기,10,NULL,10,10,주당 현금배당금(원)우선주(1)당기,45,NULL,NULL,45,NULL,NULL,NULL,NULL,NULL
782,코오롱글로벌,5000,5000,5000,48780,16314,15249,59522,12520,18142,주당 현금배당금(원)보통주(1)당기,499,350,100,150,주당 현금배당금(원)우선주(1)당기,549,400,150,200,NULL,NULL,NULL,NULL,NULL
783,로보스타,500,500,500,-4513,-1194,7478,-4704,-2485,7526,주당 현금배당금(원)(1)당기,50,NULL,50,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
784,풀무원,500,5000,5000,-7535,10980,38506,10196,15829,12180,주당 현금배당금(원)보통주(1)당기,-818,102,1020,1153,주당 현금배당금(원)우선주(1)당기,-5898,347,3470,NULL,NULL,NULL,NULL,NULL,NULL
785,세아제강,5000,5000,NULL,NULL,NULL,NULL,24852,7030,NULL,주당 현금배당금(원)보통주(1)당기,2400,2000,1800,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
786,일신바이오,100,100,100,4749,2714,1810,4269,3134,1887,주당 현금배당금(원)보통주(1)당기,5,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
787,테스,500,500,500,9749,42405,54324,10032,41648,55170,주당 현금배당금(원)보통주(1)당기,216,300,400,400,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
788,메가스터디교육,100,100,500,48427,42798,10830,43355,40052,7358,주당 현금배당금(원)보통주(1)당기,783,1100,850,1300,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
789,에코마케팅,100,100,100,33353,15368,7698,21670,14344,7794,주당 현금배당금(원)보통주(1)당기,1066,670,390,250,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
790,아이씨디,500,500,500,11152,29834,24892,9111,29092,24790,주당 현금배당금(원)보통주(1)당기,150,150,150,150,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
791,서연탑메탈,500,500,500,-2989,-10165,4273,-250,-4201,-8212,주당 현금배당금(원)(1)당기,99,60,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
792,AP위성,500,500,500,713,-664,65,NULL,NULL,NULL,주당 현금배당금(원)보통주(1)당기,70,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
793,삼표시멘트,500,500,500,18580,-4347,36285,17284,-13269,24437,주당 현금배당금(원)보통주(1)당기,50,50,NULL,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
794,코프라,500,500,500,8962,4843,5588,5546,4807,4831,주당 현금배당금(원)(1)당기,70,70,70,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
795,세아홀딩스,5000,5000,5000,30822,32765,134417,48800,32442,41040,주당 현금배당금(원)보통주(1)당기,2625,2250,2500,2000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
796,엠씨넥스,500,500,500,84507,29818,-892,99541,41005,-13286,주당 현금배당금(원)보통주(1)당기,713,500,300,260,주당 현금배당금(원)우선주(1)당기,419,NULL,300,260,NULL,NULL,NULL,NULL,NULL
797,일양약품,2500,2500,2500,19594,3251,12941,4102,-9457,3349,주당 현금배당금(원)보통주(1)당기,120,120,NULL,NULL,주당 현금배당금(원)우선주(1)당기,145,145,NULL,NULL,NULL,NULL,NULL,NULL,NULL
798,루트로닉,500,500,500,-11377,-15002,-7285,-20,856,3951,주당 현금배당금(원)보통주(1)당기,15,NULL,NULL,15,주당 현금배당금(원)우선주(1)당기,151,151,151,151,NULL,NULL,NULL,NULL,NULL
799,코리아센터,100,100,5000,7018,4874,4652,4073,1377,3482,주당 현금배당금(원)보통주(1)당기,7081,NULL,NULL,7081,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
800,이수화학,5000,5000,5000,-7350,6810,3474,-4431,28334,3271,주당 현금배당금(원)보통주(1)당기,283,400,400,500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
801,우리손에프앤지,500,500,500,4206,27082,26462,2334,4186,9155,주당 현금배당금(원)보통주(1)당기,25,25,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
802,이엘피,500,500,500,4074,14828,16080,4106,14642,16257,주당 현금배당금(원)보통주(1)당기,150,NULL,150,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
803,SBS콘텐츠허브,500,500,500,555,8254,-6068,1683,5164,-5894,주당 현금배당금(원)보통주(1)당기,75,NULL,75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
804,조광페인트,500,500,500,-2313,-3902,4300,-5321,-218,16097,주당 현금배당금(원)보통주(1)당기,108,200,100,250,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
805,필옵틱스,500,500,500,-16001,-27467,17453,-15856,-27637,17650,주당 현금배당금(원)(1)당기,300,NULL,NULL,300,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
806,제이씨현시스템,500,500,500,706,9433,12712,174,7263,9058,주당 현금배당금(원)보통주(1)당기,-19,NULL,70,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
807,삼일기업공사,500,500,500,NULL,NULL,NULL,3290,3094,2650,주당 현금배당금(원)보통주(1)당기,111,100,100,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
808,동아화성,500,500,500,10016,6367,9097,5833,4620,5799,주당 현금배당금(원)보통주(1)당기,50,50,50,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
809,한라,5000,5000,5000,2500,-12396,46392,-16140,-14362,53752,주당 현금배당금(원)보통주(1)당기,100,NULL,NULL,100,주당 현금배당금(원)우선주(1)당기,3486,NULL,NULL,3486,NULL,NULL,NULL,NULL,NULL
810,한신공영,5000,5000,5000,71876,162133,71956,65322,138191,75041,주당 현금배당금(원)보통주(1)당기,329,350,375,375,주당 현금배당금(원)우선주(1)당기,379,400,425,425,NULL,NULL,NULL,NULL,NULL
811,한양증권,5000,5000,5000,22161,4654,4902,NULL,NULL,NULL,주당 현금배당금(원)보통주(1)당기,316,350,250,350,주당 현금배당금(원)우선주(1)당기,366,400,300,400,NULL,NULL,NULL,NULL,NULL
812,인지디스플레,500,500,500,8555,12152,1324,12364,3817,4430,주당 현금배당금(원)보통주(1)당기,75,75,75,75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
813,싸이맥스,500,500,500,3170,13335,17567,5682,12334,17882,주당 현금배당금(원)보통주(1)당기,250,250,250,250,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
814,삼영엠텍,500,500,500,3494,1404,1743,3368,2480,2111,주당 현금배당금(원)보통주(1)당기,144,100,60,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
815,원익머트리얼즈,500,500,500,28106,41226,20409,25922,46957,16408,주당 현금배당금(원)보통주(1)당기,50,150,200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
816,중앙백신,500,500,500,NULL,NULL,NULL,1854,3454,4579,주당 현금배당금(원)(1)당기,50,50,50,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
817,삼화왕관,5000,5000,5000,8350,9840,8384,9206,NULL,NULL,주당 현금배당금(원)(1)당기,1291,1350,1350,1400,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
818,디씨엠,500,500,500,22207,6668,13023,NULL,6190,12349,주당 현금배당금(원)보통주(1)당기,463,500,250,460,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
819,지엠비코리아,500,500,500,2735,130,11460,1374,2013,8551,주당 현금배당금(원)보통주(1)당기,-51,30,30,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
820,하이텍팜,500,500,500,-4218,2608,2100,-4218,2608,2100,주당 현금배당금(원)(1)당기,-8,50,50,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
821,태평양물산,500,500,500,11214,10095,9642,3016,13607,2891,주당 현금배당금(원)보통주(1)당기,49,30,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
822,빛샘전자,500,500,500,1884,1708,3698,2201,1678,1643,주당 현금배당금(원)보통주(1)당기,83,100,50,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
823,서원,500,500,500,3106,7036,1840,1545,1603,-2992,주당 현금배당금(원)보통주(1)당기,0,10,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
824,동우팜투테이블,500,500,500,2632,18123,17506,2594,NULL,NULL,주당 현금배당금(원)(1)당기,50,NULL,50,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
825,샘표,1000,1000,1000,24722,21241,12814,11246,12855,7918,주당 현금배당금(원)보통주(1)당기,200,200,200,200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
826,럭스피아,500,500,500,1617,564,592,NULL,NULL,NULL,주당 현금배당금(원)보통주(1)당기,35,35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
827,동원개발,500,500,500,84697,121942,100618,NULL,NULL,NULL,주당 현금배당금(원)보통주(1)당기,186,170,185,160,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
828,오픈베이스,500,500,500,1361,-2636,1706,1808,1490,3909,주당 현금배당금(원)보통주(1)당기,15,15,15,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
829,대원,500,500,500,9328,30093,22761,8584,32707,23297,주당 현금배당금(원)보통주(1)당기,308,250,250,200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
830,엘티씨,500,500,500,761,832,-1415,-291,373,-38,주당 현금배당금(원)보통주(1)당기,41,100,100,150,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
831,에이에프더블류,500,500,500,NULL,NULL,NULL,5599,8713,4796,주당 현금배당금(원)보통주(1)당기,143,100,100,63,주당 현금배당금(원)우선주(1)당기,100,100,100,NULL,NULL,NULL,NULL,NULL,NULL
832,한국프랜지공업,1000,1000,5000,10920,-1029,-23603,12524,549,-18104,주당 현금배당금(원)보통주(1)당기,50,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
833,아진엑스텍,500,500,500,2475,4512,6156,NULL,NULL,NULL,주당 현금배당금(원)보통주(1)당기,-41,100,200,250,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
834,유니온커뮤니티,500,500,500,4091,3559,1801,4094,3631,1877,주당 현금배당금(원)보통주(1)당기,70,70,70,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
835,한국쉘석유,5000,5000,5000,NULL,NULL,NULL,21027,24960,24243,주당 현금배당금(원)보통주(1)당기,15833,16000,19000,17000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
836,백광산업,500,500,500,16028,22325,6338,16259,NULL,NULL,주당 현금배당금(원)보통주(1)당기,124,75,50,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
