idx,회사명,주당액면가액(원)당기,주당액면가액(원)전기,주당액면가액(원)전전기,(연결)당기순이익(백만원)당기,(연결)당기순이익(백만원)전기,(연결)당기순이익(백만원)전전기,(별도)당기순이익(백만원)당기,(별도)당기순이익(백만원)전기,(별도)당기순이익(백만원)전전기,주식 유형1,유형1 예측,유형1 당기,유형1 전기,유형1 전전기,주식 유형2,유형2 예측,유형2 당기,유형2 전기,유형2 전전기,주식 유형3,유형3 예측,유형3 당기,유형3 전기,유형3 전전기
37,알서포트,100,100,100,8870,4974,2688,7511,4551,2029,주당 현금배당금(원)보통주(1)당기,39,20,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38,에너토크,500,500,500,489,1335,400,1164,1848,618,주당 현금배당금(원)보통주(1)당기,53,50,60,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
39,한국카본,500,500,500,17702,-2979,744,21726,-2842,557,주당 현금배당금(원)보통주(1)당기,136,120,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40,팜스빌,500,500,500,7236,4815,3668,7342,4985,3695,주당 현금배당금(원)보통주(1)당기,283,200,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
41,하이골드12호,5000,5000,5000,5296,2374,-17126,5028,1432,-25729,주당 현금배당금(원)보통주(1)당기,886,567,407,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
42,하이골드3호,5000,5000,5000,907,3965,-9500,-604,2188,-4725,주당 현금배당금(원)(1)당기,-323,56,246,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
43,SK네트웍스,2500,2500,2500,-131538,7252,33412,-85962,5027,-22927,주당 현금배당금(원)보통주(1)당기,120,120,120,120,주당 현금배당금(원)우선주(1)당기,145,145,145,145,NULL,NULL,NULL,NULL,NULL
44,에치에프알,500,500,500,422,577,3136,4376,571,3883,주당 현금배당금(원)(1)당기,50,NULL,NULL,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45,DRB동일,500,500,500,8877,6242,17967,3484,7308,9679,주당 현금배당금(원)보통주(1)당기,103,100,110,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46,현대자동차,5000,5000,5000,2980049,1508084,4032824,2832289,414941,2551319,주당 현금배당금(원)보통주(1)당기,4000,4000,4000,4000,주당 현금배당금(원)우선주(1)당기,4100,4100,4100,4100,NULL,NULL,NULL,NULL,NULL
47,어보브반도체,500,500,500,13368,8244,-4953,13599,7804,-5151,주당 현금배당금(원)보통주(1)당기,309,200,90,75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48,광진윈텍,500,500,500,2266,-2521,-2988,2406,-1735,-2167,주당 현금배당금(원)보통주(1)당기,164,100,50,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
49,조광ILI,500,500,500,3553,4774,3328,4641,4835,3391,주당 현금배당금(원)(1)당기,159,NULL,100,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50,세명전기,500,500,500,NULL,NULL,NULL,3421,3603,3669,주당 현금배당금(원)보통주(1)당기,80,80,80,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
51,한국타이어앤테크놀로지,500,500,500,419513,522215,599064,241218,243936,289438,주당 현금배당금(원)보통주식(1)당기,691,550,450,400,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
52,S-Oil,2500,2500,2500,65429,258035,1246489,62602,253777,1249156,주당 현금배당금(원)보통주(1)당기,-6266,200,750,5900,주당 현금배당금(원)우선주(1)당기,-6241,225,775,5925,NULL,NULL,NULL,NULL,NULL
53,CJ ENM,5000,5000,5000,104247,162632,130862,319728,110764,128169,주당 현금배당금(원)(1)당기,-533,1400,1200,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
54,아주IB투자,500,500,5000,16289,11754,13044,23087,5542,6985,주당 현금배당금(원)보통주(1)당기,-219,35,25,250,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
55,한화솔루션,5000,5000,5000,-237623,186680,824697,-66802,526942,503275,주당 현금배당금(원)보통주(1)당기,25,200,200,350,주당 현금배당금(원)우선주(1)당기,75,250,250,400,NULL,NULL,NULL,NULL,NULL
56,금호전기,500,5000,5000,-32505,-18140,-18452,-44109,-100303,-22247,주당 현금배당금(원)우선주(1)전전기,60517,NULL,NULL,60517,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
57,KG케미칼,5000,5000,5000,219341,27766,10208,-9864,-2761,5790,주당 현금배당금(원)보통주(1)당기,350,350,350,350,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
58,현대모비스,5000,5000,5000,2294311,1888804,1568152,1906368,1559849,1427449,주당 현금배당금(원)보통주(1)당기,4583,4000,4000,3500,주당 현금배당금(원)우선주(1)당기,4633,4050,4050,3550,NULL,NULL,NULL,NULL,NULL
59,고려산업,1000,1000,1000,4729,3713,5070,4098,3042,5123,주당 현금배당금(원)보통주(1)당기,24,30,30,35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60,한국가구,100,500,1000,6069,7401,5484,2379,5719,1063,주당 현금배당금(원)보통주(1)당기,126,115,115,105,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
61,PN풍년,500,500,500,NULL,NULL,NULL,5421,1197,1435,주당 현금배당금(원)보통주(1)당기,25,25,25,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
62,세종공업,500,500,500,5564,-19161,-7446,2991,352,9710,주당 현금배당금(원)보통주(1)당기,-8,50,50,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
63,원림,5000,5000,5000,2966,-891,3708,197,-872,1652,주당 현금배당금(원)보통주(1)당기,250,250,NULL,250,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
64,미래에셋생명,5000,5000,5000,109502,106602,221105,100039,74959,79113,주당 현금배당금(원)보통주(1)당기,170,170,170,170,주당 현금배당금(원)우선주 주4)(1)당기,710,710,710,710,NULL,NULL,NULL,NULL,NULL
65,사조대림,5000,5000,5000,82577,9917,28704,77077,7186,12895,주당 현금배당금(원)보통주(1)당기,150,150,150,150,주당 현금배당금(원)(*)우선주(1)당기,200,200,200,200,NULL,NULL,NULL,NULL,NULL
66,쏠리드,500,500,500,5411,11220,-25861,10125,12485,-32807,주당 현금배당금(원)종류주식(1)당기,22,NULL,22,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
67,두산밥캣,500,500,500,272116,264497,273758,110633,4183,1516,주당 현금배당금(원)보통주(1)당기,1566,1200,900,800,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
68,두산중공업,5000,5000,5000,-395296,-523794,-292038,-495191,-725088,15780,주당 현금배당금(원)우선주(1)당기,1356,NULL,1356,1356,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
69,액트,500,500,500,-1380,2384,1168,-1965,1964,844,주당 현금배당금(원)보통주(1)당기,44,NULL,30,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
70,BYC,5000,5000,5000,27773,9100,6198,21265,7241,7919,주당 현금배당금(원)보통주(1)당기,1358,1100,1000,850,주당 현금배당금(원)우선주(1)당기,1408,1150,1050,900,NULL,NULL,NULL,NULL,NULL
71,디에이테크놀로지,500,500,500,-20783,-9928,1128,-20671,-10084,787,주당 현금배당금(원)보통주(1)당기,50,NULL,NULL,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
72,무림페이퍼,2500,2500,2500,-9612,34662,26662,-1768,-7343,8395,주당 현금배당금(원)보통주(1)당기,79,50,50,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
73,무림SP,500,500,500,1355,11180,10446,2820,-156,4698,주당 현금배당금(원)보통주(1)당기,35,35,35,35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
74,포인트엔지니어링,100,500,500,1133,10888,6917,904,10689,6346,주당 현금배당금(원)보통주(1)당기,-363,20,200,400,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
75,신일제약,500,500,500,NULL,NULL,NULL,7257,5714,8198,주당 현금배당금(원)보통주(1)당기,158,150,140,140,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
76,픽셀플러스,500,500,500,NULL,NULL,NULL,-6142,-9505,-2216,주당 현금배당금(원)보통주(1)당기,100,NULL,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
77,힘스,500,500,500,NULL,NULL,NULL,8442,-1022,12118,주당 현금배당금(원)보통주(1)당기,200,200,NULL,200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
78,환인제약,500,500,500,18612,NULL,NULL,18740,21518,27172,주당 현금배당금(원)보통주(1)당기,300,300,300,300,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
79,KPX홀딩스,5000,5000,5000,34347,3681,40338,14522,13097,28663,주당 현금배당금(원)보통주(1)당기,1141,2600,2600,3850,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
