,회사명,주당액면가액(원)(1)당기,주당액면가액(원)(1)전기,주당액면가액(원)(1)전전기,(연결)당기순이익(백만원)(1)당기,(연결)당기순이익(백만원)(1)전기,(연결)당기순이익(백만원)(1)전전기,(별도)당기순이익(백만원)(1)당기,(별도)당기순이익(백만원)(1)전기,(별도)당기순이익(백만원)(1)전전기,(연결)주당순이익(원)(1)당기,(연결)주당순이익(원)(1)전기,(연결)주당순이익(원)(1)전전기,현금배당금총액(백만원)(1)당기,현금배당금총액(백만원)(1)전기,현금배당금총액(백만원)(1)전전기,주식배당금총액(백만원)(1)당기,주식배당금총액(백만원)(1)전기,주식배당금총액(백만원)(1)전전기,(연결)현금배당성향(%)(1)당기,(연결)현금배당성향(%)(1)전기,(연결)현금배당성향(%)(1)전전기,현금배당수익률(%)보통주(1)당기,현금배당수익률(%)보통주(1)전기,현금배당수익률(%)보통주(1)전전기,현금배당수익률(%)우선주(1)당기,현금배당수익률(%)우선주(1)전기,현금배당수익률(%)우선주(1)전전기,주식배당수익률(%)보통주(1)당기,주식배당수익률(%)보통주(1)전기,주식배당수익률(%)보통주(1)전전기,주식배당수익률(%)우선주(1)당기,주식배당수익률(%)우선주(1)전기,주식배당수익률(%)우선주(1)전전기,주당 현금배당금(원)보통주(1)당기,주당 현금배당금(원)보통주(1)전기,주당 현금배당금(원)보통주(1)전전기,주당 현금배당금(원)우선주(1)당기,주당 현금배당금(원)우선주(1)전기,주당 현금배당금(원)우선주(1)전전기,주당 주식배당(주)보통주(1)당기,주당 주식배당(주)보통주(1)전기,주당 주식배당(주)보통주(1)전전기,주당 주식배당(주)우선주(1)당기,주당 주식배당(주)우선주(1)전기,주당 주식배당(주)우선주(1)전전기,현금배당수익률(%)(1)당기,현금배당수익률(%)(1)전기,현금배당수익률(%)(1)전전기,주식배당수익률(%)(1)당기,주식배당수익률(%)(1)전기,주식배당수익률(%)(1)전전기,주당 현금배당금(원)(1)당기,주당 현금배당금(원)(1)전기,주당 현금배당금(원)(1)전전기,주당 주식배당(주)(1)당기,주당 주식배당(주)(1)전기,주당 주식배당(주)(1)전전기,현금배당수익률(%)(2)당기,현금배당수익률(%)(2)전기,현금배당수익률(%)(2)전전기,주식배당수익률(%)(2)당기,주식배당수익률(%)(2)전기,주식배당수익률(%)(2)전전기,주당 현금배당금(원)(2)당기,주당 현금배당금(원)(2)전기,주당 현금배당금(원)(2)전전기,주당 주식배당(주)(2)당기,주당 주식배당(주)(2)전기,주당 주식배당(주)(2)전전기,현금배당수익률(%)종류주식(1)당기,현금배당수익률(%)종류주식(1)전기,현금배당수익률(%)종류주식(1)전전기,주식배당수익률(%)종류주식(1)당기,주식배당수익률(%)종류주식(1)전기,주식배당수익률(%)종류주식(1)전전기,주당 현금배당금(원)종류주식(1)당기,주당 현금배당금(원)종류주식(1)전기,주당 현금배당금(원)종류주식(1)전전기,주당 주식배당(주)종류주식(1)당기,주당 주식배당(주)종류주식(1)전기,주당 주식배당(주)종류주식(1)전전기,주당 주식배당(주)(3)당기,주당 주식배당(주)(3)전기,주당 주식배당(주)(3)전전기,현금배당수익률(%)보통주식(1)당기,현금배당수익률(%)보통주식(1)전기,현금배당수익률(%)보통주식(1)전전기,주식배당수익률(%)보통주식(1)당기,주식배당수익률(%)보통주식(1)전기,주식배당수익률(%)보통주식(1)전전기,주당 현금배당금(원)보통주식(1)당기,주당 현금배당금(원)보통주식(1)전기,주당 현금배당금(원)보통주식(1)전전기,주당 주식배당(주)보통주식(1)당기,주당 주식배당(주)보통주식(1)전기,주당 주식배당(주)보통주식(1)전전기,주당 주식배당(주)후배주(1)당기,주당 주식배당(주)후배주(1)전기,주당 주식배당(주)후배주(1)전전기,현금배당수익률(%)종류주(1)당기,현금배당수익률(%)종류주(1)전기,현금배당수익률(%)종류주(1)전전기,주식배당수익률(%)종류주(1)당기,주식배당수익률(%)종류주(1)전기,주식배당수익률(%)종류주(1)전전기,주당 현금배당금(원)종류주(1)당기,주당 현금배당금(원)종류주(1)전기,주당 현금배당금(원)종류주(1)전전기,주당 주식배당(주)종류주(1)당기,주당 주식배당(주)종류주(1)전기,주당 주식배당(주)종류주(1)전전기,주당 주식배당(주)(4)당기,주당 주식배당(주)(4)전기,주당 주식배당(주)(4)전전기,현금배당수익률(%)보통주 (1)당기,현금배당수익률(%)보통주 (1)전기,현금배당수익률(%)보통주 (1)전전기,현금배당수익률(%)우선주 (1)당기,현금배당수익률(%)우선주 (1)전기,현금배당수익률(%)우선주 (1)전전기,주식배당수익률(%)보통주 (1)당기,주식배당수익률(%)보통주 (1)전기,주식배당수익률(%)보통주 (1)전전기,주식배당수익률(%)우선주 (1)당기,주식배당수익률(%)우선주 (1)전기,주식배당수익률(%)우선주 (1)전전기,주당 현금배당금(원)보통주 (1)당기,주당 현금배당금(원)보통주 (1)전기,주당 현금배당금(원)보통주 (1)전전기,주당 현금배당금(원)우선주 (1)당기,주당 현금배당금(원)우선주 (1)전기,주당 현금배당금(원)우선주 (1)전전기,주당 주식배당(주)보통주 (1)당기,주당 주식배당(주)보통주 (1)전기,주당 주식배당(주)보통주 (1)전전기,주당 주식배당(주)우선주 (1)당기,주당 주식배당(주)우선주 (1)전기,주당 주식배당(주)우선주 (1)전전기
73,CJ프레시웨이,"1,000","1,000","1,000","5,149","13,705","-1,536","22,376","11,791","-5,778",434,"1,154",-129,"2,968","2,374","2,374",-,-,-,57.60,17.30,-154.60,0.90,0.70,0.50,-,-,-,-,-,-,-,-,-,250,200,200,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,엠벤처투자,500,500,500,"9,098","2,346","-6,443","4,992","1,325","-6,865",133,36,-108,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,무학,200,200,200,"23,700","-20,263","51,507","24,452","-19,122","51,673",849,-719,"1,839",-,"9,865","9,865",-,-,-,-,-48.69,19.15,-,2.57,1.78,,,,-,-,-,,,,-,350,350,,,,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,내츄럴엔도텍,500,500,500,"-16,008","-23,238","-8,861","-15,323","-16,506","-9,645",-655,-963,-455,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,한진칼,"2,500","2,500","2,500","-243,001","-33,524","227,463","32,069","37,869","238,884","-4,070",-562,"3,931","15,237","17,923","7,476",-,-,-,-6.30,-53.50,3.30,0.60,0.90,0.70,0.60,1.40,1.30,-,-,-,-,-,-,255,300,125,280,325,150,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,호텔신라,"5,000","5,000","5,000","169,428","110,308","25,286","134,734","92,576","22,348","4,483","2,913",667,"13,286","13,286","13,286",-,-,-,7.84,12.04,52.54,0.41,0.47,0.43,0.78,0.87,0.79,,,,,,,350,350,350,400,400,400,,,,,,,,,,-,-,-,,,,-,-,-,,,,-,-,-,,,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,동진쎄미켐,500,500,500,"58,526","47,704","44,803","44,753","39,569","37,822","1,138",928,900,"4,627","4,627","4,627",-,-,-,7.91,9.70,10.33,0.56,1.24,0.43,-,-,-,-,-,-,-,-,-,90,90,90,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,컨버즈,500,500,500,"-15,957","-20,922","-18,245","-18,238","-19,162","-6,432","-8,644","-15,378","-1,846",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,메디젠휴먼케어,500,500,500,"-3,536","-2,315",-968,"-3,513","-2,312",-968,"-1,534","-1,004",-420,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,에스케이씨에스,500,500,500,-,-,-,-83,"-1,046","-4,615",-31,-387,"-1,709",-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,이그잭스,500,500,500,"-1,000","-2,242","-9,348","-1,750","-3,051","-9,147",-14,-46,-277,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,LS네트웍스,"5,000","5,000","5,000","-69,085","16,299","20,601","-41,559","-14,302","8,334",-940,222,280,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,원익QnC,500,500,500,"2,606","40,511","28,925","15,571","33,684","20,864",99,"1,541","1,100",-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,원익홀딩스,500,500,500,"48,982","96,370","80,652","2,740","29,343","27,309",444,"1,016",961,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,태영건설,500,500,500,"99,504","244,140","123,275","115,133","133,888","59,099","1,326","2,770","1,321","10,638","8,867","6,388",-,-,-,11.70,4.68,5.18,1.34,1.10,0.98,2.32,2.33,1.93,-,-,-,-,-,-,150,125,90,155,130,95,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,형지I&C,500,500,500,-88,-,"-25,933",-88,"-6,228","-27,564",-2,-160,-666,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,동양생명,"5,000","5,000","5,000","115,226","54,766","190,007","151,542","51,318","184,405",739,351,"1,327","35,847","15,586","56,109",-,-,-,31.10,28.50,29.50,5.30,2.10,4.50,,,,-,-,-,,,,230,100,360,,,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,이베스트투자증권,"5,000","5,000","5,000","51,536","34,048",-,"51,980","34,552","38,844","1,132",960,"1,086","17,390","17,172","17,255",-,-,-,33.74,50.43,44.42,5.49,5.47,4.49,-,-,-,-,-,-,-,-,-,345,485,485,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,상상인인더스트리,500,500,500,"-11,590",-,"-9,828","-10,374","-122,820","-3,510",-281,"-3,133",-316,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,아이엠,500,500,500,"-20,221","-18,641","-3,688","-20,221","-18,643","-3,688",-505,-628,-165,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,,,,-,-,-,,,,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,엔씨소프트,500,500,500,"358,174","418,185","440,967","307,492","438,426","471,574","17,387","19,831","20,756","107,571","124,584","154,703",-,-,-,30.00,29.80,35.10,1.00,1.30,1.70,-,-,-,-,-,-,-,-,-,"5,220","6,050","7,280",-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,삼영화학공업,500,500,500,"-1,893","-7,812","-31,805","-2,012","-6,889","-21,471",-59,-203,-632,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,주연테크,100,100,100,"-4,581","-4,826","-6,185","-4,526","-4,278","-5,296",-46,-51,-95,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,평화정공,500,500,500,"31,622","44,832","74,521","23,551","41,434","59,034","1,506","2,135","3,548","3,780","3,359","3,359",-,-,-,11.95,7.49,4.51,,,,,,,,,,,,,,,,,,,,,,,,,2.20,2.30,1.50,-,-,-,180,160,160,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,이엠코리아,500,500,500,"-15,952","-2,725","-2,433","-7,328","2,252","1,161",-439,-66,-89,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,SK텔레콤,500,500,500,"889,907","3,127,887","2,599,829","980,338","933,902","1,331,114","12,144","44,066","36,582","730,098","717,438","706,091",-,-,-,82.00,22.90,27.20,,,,,,,,,,,,,,,,,,,,,,,,,4.10,3.70,3.60,-,-,-,"10,000","10,000","10,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,진원생명과학,"1,000","1,000","1,000","-7,619","-11,898","-23,730","-9,959","-14,046","-21,848",-356,-567,"-1,329",-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,한국주강,500,500,500,-,-,-,"-13,564","-10,120","-4,725","-1,217",-908,-424,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,케이피에프,500,500,500,"7,613","9,342","12,829","7,380","7,235","7,026",480,646,912,"2,612","2,344","2,094",-,-,-,34.31,25.09,16.32,,,,,,,,,,,,,,,,,,,,,,,,,3.42,3.83,3.08,-,-,-,160,160,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,좋은사람들,500,500,500,"-10,377","3,617","-9,909","-10,338","2,991","-8,815",-351,138,-392,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,파이오링크,500,500,500,"5,622",363,"-2,968",-,-,"-3,003",868,57,-376,648,-,-,-,-,-,11.50,-,-,1.20,-,-,-,-,-,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,오파스넷,500,500,500,"-11,878","2,289","3,080",-,-,-,"-2,950",680,"1,061",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,하이트론씨스템즈,"2,500","2,500","2,500","-17,825",717,"-11,370","-17,938",742,"-12,294","-3,602",150,"-2,423",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,시노펙스,500,500,500,"6,184",594,"-13,790","3,390","-1,399","3,396",89,10,-217,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,파미셀,500,500,500,-,-,-,"4,347","-12,681","-21,961",-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,NHN한국사이버결제,500,500,500,"24,476","16,780","10,203","23,557","17,462","9,844","1,109",800,"56,533","4,987","3,162",-,-,527,950,4.92,5.39,-,1.03,1.21,-,-,-,-,-,-,0.03,-,-,-,-,150,-,-,-,-,-,0,0,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,삼광글라스,"5,000","5,000","5,000",427,"-11,514","4,091","-8,277","-28,300","-7,481",-42,"-2,372","1,064","4,473","1,987",942,-,-,-,#######,-17.20,18.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,,,,3.30,2.60,0.60,-,-,-,"1,000",750,350,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,우진비앤지,500,500,500,"-13,552","-6,632","-4,190","-11,953","-5,632","-4,190",-520,-418,-324,-,-,-,-,-,268,-,-,-,-,-,-,,,,-,-,5.00,,,,-,-,-,,,,-,-,0,,,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,한진중공업,"5,000","5,000","5,000","306,169","-1,283,647","-277,979","-73,654","-963,474","-299,028","5,185","-88,375","-19,137",-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,성우하이텍,500,500,500,"39,317","24,294","32,068","-27,455","62,541","56,921",492,343,526,"6,399","6,399","8,999",-,-,-,16.28,26.34,28.06,2.16,2.16,2.30,-,-,-,-,-,-,-,-,-,80,80,150,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,오스템,500,500,500,"-13,915","-4,042",539,"-13,981","-4,039",417,-558,-161,21,497,500,750,-,-,-,-,-,139.15,1.01,0.54,0.59,-,-,-,-,-,-,-,-,-,20,20,30,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,웅진씽크빅,500,500,500,"-141,460","22,187","24,925","-142,698","21,862","27,052","-1,067",672,745,"41,097",-,"5,415",-,-,-,-29.10,-,21.70,12.60,-,2.30,-,-,-,-,-,-,-,-,-,310,-,164,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,LS,"5,000","5,000","5,000","25,331","404,149","296,857","51,642","413,787","70,755",912,"14,555","10,691","40,262","34,709","34,709",-,-,-,158.90,8.59,11.69,,,,,,,,,,,,,,,,,,,,,,,,,3.00,2.50,1.80,-,-,-,"1,450","1,250","1,250",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,KH바텍,500,500,500,"-11,583","-39,098","-37,704","-11,388","-38,963","-37,532",-518,"-2,014","-1,966",-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,한국정밀기계,500,500,500,"-1,229","-18,523","-27,480",-,-,-,-146,"-2,204","-3,270",-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,피엔아이컴퍼니,500,500,500,"-4,061","-5,312","-1,158",-,-,-,-853,"-1,136",-264,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,에스앤더블류,500,500,500,-,-,-,"-2,754","-10,219","-4,191",-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,원텍,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,대한유화,"5,000","5,000","5,000","106,342","257,413","214,317","100,344","249,631","205,583","17,218","41,679","34,701","15,440","24,704","24,704",-,-,-,14.50,9.60,11.50,2.10,2.60,1.50,,,,-,-,-,,,,"2,500","4,000","4,000",,,,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,우정바이오,500,100,100,-,-,-,279,"-4,617","-6,921",28,-187,-371,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,키네마스터,500,500,500,62,"-3,145","-4,290",-874,"-3,484","-4,316",5,-482,-657,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
