,name,BS
647,사조오양,-0.30913091309130913
648,삼아알미늄,0.2339486356340289
649,삼호개발,0.0
650,삼화전자공업,-0.2462809917355372
651,삼화페인트공업,0.0
652,새론오토모티브,-0.2238562091503268
653,성문전자,0.0
654,세아베스틸,0.0
655,세아제강지주,-0.505032021957914
656,신풍제약,0.0
657,쌍방울,0.0
658,쌍용양회공업,0.0
659,씨에스윈드,0.0
660,아남전자,0.0
661,아세아제지,0.0
662,애경유화,0.0
663,에쓰씨엔지니어링,0.0
664,에어부산,0.0
665,엔케이물산,0.0
666,영흥,0.0
667,오리엔트바이오,0.17972850678733032
668,오리온홀딩스,0.0
669,용평리조트,0.0
670,웅진,0.1176470588235294
671,원림,0.0
672,유니퀘스트,0.0
673,이엔플러스,0.0
674,이지스밸류플러스리츠,0.0
675,일동제약,-0.304
676,일신석재,0.0
677,일양약품,-0.1742270367862785
678,주연테크,-0.060240963855421686
679,지코,0.0
680,진양산업,0.0
681,케이비아이동국실업,0.0
682,케이씨,0.225201072386059
683,케이티스카이라이프,0.0
684,코오롱,0.0
685,티웨이홀딩스,0.0
686,파미셀,0.0
687,평화홀딩스,0.17800000000000002
688,풀무원,0.0
689,하이트진로홀딩스,0.0
690,한국단자공업,0.23144654088050315
691,한국조선해양,0.0
692,한국카본,-0.3750771128932757
693,한농화성,0.2588300220750552
694,한신공영,0.0
695,한익스프레스,0.0
696,한전기술,0.0
697,한화투자증권,0.0
698,현대글로비스,-0.22820442743919106
699,현대중공업지주,0.0
700,현대해상,0.0
701,화승알앤에이,0.0
702,효성중공업,0.0
703,효성티앤씨,0.0
704,BYC,0.0
705,DB손해보험,0.0
706,GS,0.0
707,HMM,0.0
708,JB금융지주,0.0
709,LS네트웍스,0.0
710,NH투자증권,-0.2149321266968326
711,SK,0.2052505966587112
712,SK디스커버리,0.0
713,강남제비스코,0.0
714,경동나비엔,-0.2300596852957135
715,광명전기,0.0
716,그린케미칼,-0.12058823529411765
717,금호석유화학,0.0
718,깨끗한나라,0.09297725024727993
719,남광토건,0.0
720,노루홀딩스,0.0
721,대동공업,0.0
722,대상홀딩스,0.0
723,대성에너지,0.0
724,대우부품,0.0
725,대우조선해양,0.3177710843373494
726,대창단조,-0.1877444589308996
727,도화엔지니어링,0.0
728,동성화학,0.0
729,동아에스티,0.32150313152400833
730,동아지질,0.0
731,동양물산기업,0.0
732,동일고무벨트,-0.2657520325203252
733,동일산업,0.002304147465437788
734,동일제강,-0.14285714285714285
735,두올,-0.2116991643454039
736,드림텍,0.0
737,롯데지주,-0.0859375
738,롯데푸드,0.0
739,모나리자,0.0
740,무림페이퍼,0.0
741,미래산업,0.0
742,미래에셋대우,0.0
743,보해양조,0.0
744,삼화콘덴서공업,0.0
745,상신브레이크,0.0
746,서울도시가스,0.0
747,성안,-0.4533333333333333
748,신대양제지,-0.059071729957805914
749,신흥,0.0
750,쎌마테라퓨틱스,0.2228398180899444
751,에스원,0.0
752,에스케이바이오팜,0.0
753,에이프로젠제약,0.0
754,영풍제지,0.0
755,우리들제약,0.0
756,우리종금,0.0
757,우진아이엔에스,0.0
758,웅진씽크빅,0.0
759,유수홀딩스,0.0
760,유엔젤,0.0
761,율촌화학,0.19157088122605365
762,이지스레지던스리츠,0.0
763,이화산업,0.0
764,인팩,0.0
765,일신방직,0.0
766,일진디스플,-0.22693032015065914
767,일진머티리얼즈,0.0
768,제주은행,0.0
769,제주항공,0.0
770,종근당,0.0
771,진양홀딩스,0.06963788300835655
772,천일고속,0.0
773,체시스,0.2184235517568851
774,카프로,-0.125
775,케이티앤지,0.0
776,태광산업,-0.3982683982683983
777,태영건설,-0.2366138350184827
778,풍산,0.0
779,하나금융지주,0.0
780,한국가스공사,0.0
781,한국전력공사,0.0
782,한국항공우주,-0.1987951807228916
783,한성기업,0.0
784,한세예스24홀딩스,0.04845222072678331
785,한일홀딩스,-0.16026711185308848
786,한전KPS,0.0
787,한진칼,0.0
788,한창,0.0
789,현대그린푸드,0.0
790,현대로템,0.0
791,현대미포조선,0.5115384615384615
792,현대약품,0.0
793,현대종합상사,0.0
794,화신,0.1744730679156909
795,휴켐스,-0.42708333333333337
796,흥국화재,0.0
797,CJ프레시웨이,0.0
798,EDGC,0.3342776203966006
799,GST,0.0
800,GS홈쇼핑,0.0
801,IBKS제13호스팩,0.0
802,ITX-AI,0.0
803,JW신약,0.0
804,KB오토시스,0.0
805,KH바텍,0.0
806,KPX생명과학,0.0
807,SK5호스팩,0.0
808,SK6호스팩,0.0
809,TJ미디어,0.0
810,YW,0.1165644171779141
811,경창산업,0.0
812,고려시멘트,0.0
813,골프존,0.0
814,교보8호스팩,0.0
815,국순당,0.0
816,그리티,0.0
817,나노브릭,0.22216414009409305
818,나스미디어,0.0
819,네오티스,0.0
820,네이처셀,0.0
821,녹십자셀,0.0
822,뉴인텍,0.28478057889822594
823,뉴프렉스,0.0
824,대봉엘에스,0.0
825,대유,0.0
826,대유에이피,-0.1419457735247209
827,대주산업,0.0
828,대한그린파워,0.21896722939424032
829,대한약품,-0.2697368421052632
830,동구바이오제약,0.300556586270872
831,동방선기,0.2685643564356436
832,디에이테크놀로지,-0.206831119544592
833,디에이피,0.0
834,디엔에이링크,0.0
835,디엔에프,0.0
836,디오,0.0
837,디지틀조선,0.0
838,디케이앤디,0.0
839,룽투코리아,0.0
840,링크제니시스,0.0
841,메디톡스,0.0
842,메이슨캐피탈,0.0
843,메탈라이프,0.4369747899159664
844,모비스,-0.2413793103448276
845,모트렉스,0.0
846,미래SCI,0.0
847,미스터블루,0.0
848,미코바이오메드,0.0
849,바디텍메드,0.0
850,바이넥스,0.0
851,브랜드엑스코퍼레이션,0.1643835616438356
852,삼보판지,0.0
853,삼본전자,0.3920454545454545
854,삼아제약,0.0
855,상지카일룸,0.0
856,서암기계공업,0.0
857,성창오토텍,-0.03108003108003108
858,세보엠이씨,0.0
859,세종메디칼,0.0
860,세코닉스,0.22364589400116486
861,셀루메드,0.0
862,셀바스헬스케어,0.0
863,셀트리온제약,0.0
864,스튜디오산타클로스,0.0
865,스페코,0.26357096141268804
866,승일,0.0
867,시스웍,0.0
868,심텍,-0.1733222407099279
869,쌍용정보통신,0.0
870,썸에이지,0.0
871,씨유메디칼,0.0
872,씨케이에이치,0.0
873,아나패스,0.18497109826589594
874,아바텍,-0.21393034825870647
875,아이센스,0.0
876,아이씨디,0.0
877,아이씨케이,0.0
878,아이오케이,0.0
879,아이원스,0.0
880,아이즈비전,0.0
881,아이티센,0.0
882,알리코제약,0.0
883,알에프세미,0.0
884,알에프텍,0.0
885,애니플러스,-0.20192307692307693
886,에스아이리소스,0.0
887,에스에너지,-0.1185267238991969
888,에스코넥,0.0
889,에쎈테크,0.0
890,에이루트,0.0
891,에이티넘인베스트,0.0
892,엑세스바이오,0.26312044723022193
893,엑시콘,0.0
894,엔피케이,0.0
895,엠게임,0.0
896,엠벤처투자,0.0
897,엠씨넥스,0.0
898,영화테크,0.0
899,오공,0.0
900,오르비텍,0.15518274415817854
901,오스템임플란트,0.0
902,오픈베이스,0.0
903,옵티시스,0.0
904,와이지-원,0.0
905,우리바이오,0.24002047082906855
906,원익QnC,-0.17079889807162535
907,원익큐브,0.0
908,원풍물산,0.0
909,웨이브일렉트로,-0.2192192192192192
910,웰크론,-0.26165556612749763
911,위지트,0.0
912,유니온커뮤니티,0.019201228878648224
913,유니테크노,0.27724867724867724
914,유비쿼스홀딩스,0.0
915,유신,0.0
916,유안타제5호스팩,0.0
917,유진스팩5호,0.0
918,유테크,0.0
919,유티아이,0.0
920,이스트소프트,0.0
921,이스트아시아홀딩스,0.0
922,이엠넷,0.0
923,이지바이오,0.0
924,이지웰,0.011999999999999985
925,인베니아,0.0
926,인텍플러스,0.0
927,자비스,0.0
928,자이글,0.0
929,장원테크,0.0
930,정상제이엘에스,0.1541501976284585
931,제우스,0.0
932,제이엠티,0.0
933,제이웨이,0.0
934,제일제강,-0.6301369863013698
935,제주반도체,-0.11988304093567252
936,젬백스,0.0
937,조아제약,0.0
938,주성엔지니어링,-0.2230122818358113
939,지엔씨에너지,-0.14048059149722736
940,지엔코,-0.2112676056338028
941,캐스텍코리아,0.0
942,케이비제20호스팩,0.0
943,케이피티유,0.13826638477801267
944,켄코아에어로스페이스,0.0
945,코렌,0.0
946,코윈테크,0.3815028901734104
947,코프라,0.0
948,키네마스터,0.0
949,토탈소프트,0.0
950,투비소프트,0.0
951,트루윈,0.0
952,특수건설,0.0
953,티앤알바이오팹,0.0
954,티에스이,-0.11398277004638832
955,파세코,0.0
956,파커스,-0.4379358437935844
957,패션플랫폼,0.0
958,푸드웰,-0.4580152671755725
959,프로스테믹스,0.0
960,피델릭스,0.0
961,피에스엠씨,0.0
962,하나금융15호스팩,0.0
963,하이즈항공,0.0
964,한국맥널티,0.0
965,한양디지텍,0.0
966,한일진공,0.3000886524822695
967,한일화학,0.0
968,해덕파워웨이,0.0
969,현대바이오,0.0
970,화성밸브,0.0
971,휴맥스,0.0
972,휴온스글로벌,0.0
973,APS홀딩스,0.0
974,CJ ENM,0.0
975,CMG제약,0.33333333333333337
976,CS,0.0
977,CSA 코스믹,-0.3313253012048193
978,EG,-0.2566371681415929
979,HRS,0.0
