,fin_prdt_cd,kor_co_nm,fin_prdt_nm,join_member,max_limit,spcl_cnd,options
48,KJ0003A,국제저축은행,S-꿈 찾아 정기예금,제한없음,50000000,없음,"[['6', '단리', 1, 1], ['12', '단리', 2, 2], ['24', '단리', 2, 2], ['6', '복리', 1, 1], ['12', '복리', 2, 2], ['24', '복리', 2, 2]]"
49,KJ0004A,국제저축은행,꿈 찾아 정기예금(비대면),만 19세 이상의 개인,50000000,없음,"[['6', '단리', 1, 1], ['12', '단리', 2, 2], ['24', '단리', 2, 2], ['6', '복리', 1, 1], ['12', '복리', 2, 2], ['24', '복리', 2, 2]]"
50,DH001,DH저축은행,정기예금,제한없음,,없음,"[['6', '단리', 1.3, 1.3], ['12', '단리', 2, 2], ['24', '단리', 2, 2], ['6', '복리', 1.3, 1.3], ['12', '복리', 2, 2], ['24', '복리', 2, 2]]"
51,DH002,DH저축은행,정기예금(비대면),제한없음,,없음,"[['6', '단리', 1.3, 1.3], ['12', '단리', 2, 2], ['24', '단리', 2, 2], ['6', '복리', 1.3, 1.3], ['12', '복리', 2, 2], ['24', '복리', 2, 2]]"
52,240005,흥국저축은행,E-정기예금,제한없음,,없음,"[['6', '단리', 1.5, 1.5], ['12', '단리', 2, 2], ['24', '단리', 2, 2], ['6', '복리', 1.5, 1.5], ['12', '복리', 2, 2], ['24', '복리', 2, 2]]"
53,240006,우리저축은행,정기예금(비대면),제한없음,,없음,"[['6', '단리', 1.4, 1.4], ['12', '단리', 1.6, 1.6], ['24', '단리', 1.6, 1.6], ['6', '복리', 1.4, 1.4], ['12', '복리', 1.6, 1.6], ['24', '복리', 1.6, 1.6]]"
54,240013,머스트삼일저축은행,비대면정기예금,제한없음,,없음,"[['12', '단리', 1.7, 1.7], ['24', '단리', 1.8, 1.8], ['36', '단리', 1.8, 1.8], ['6', '복리', 1.2, 1.2], ['12', '복리', 1.7, 1.75], ['24', '복리', 1.8, 1.85], ['36', '복리', 1.8, 1.85], ['6', '단리', 1, 1], ['12', '단리', 1.6, 1.6], ['24', '단리', 1.6, 1.6], ['36', '단리', 1.6, 1.6], ['6', '복리', 1, 1], ['12', '복리', 1.6, 1.6], ['24', '복리', 1.6, 1.6], ['36', '복리', 1.6, 1.6]]"
55,KH2400,금화저축은행,정기예금,제한없음,,창구전용상품,"[['6', '단리', 1.5, 1.5], ['12', '단리', 1.9, 1.9], ['24', '단리', 2, 2], ['36', '단리', 2, 2], ['6', '복리', 1.5, 1.5], ['12', '복리', 1.9, 1.9], ['24', '복리', 2, 2], ['36', '복리', 2, 2]]"
56,KH2401,금화저축은행,e-정기예금,인터넷 및 모바일뱅킹 사용자,,-,"[['6', '단리', 1.6, 1.6], ['12', '단리', 2, 2], ['24', '단리', 2.1, 2.1], ['36', '단리', 2.1, 2.1], ['6', '복리', 1.6, 1.6], ['12', '복리', 2, 2], ['24', '복리', 2.1, 2.1], ['36', '복리', 2.1, 2.1]]"
57,KH2402,금화저축은행,비대면-정기예금,비대면 어플사용자,,-,"[['6', '단리', 1.6, 1.6], ['12', '단리', 2, 2], ['24', '단리', 2.1, 2.1], ['36', '단리', 2.1, 2.1], ['6', '복리', 1.6, 1.6], ['12', '복리', 2, 2], ['24', '복리', 2.1, 2.1], ['36', '복리', 2.1, 2.1]]"
58,241001,예가람저축은행,e-정기예금,제한없음,,없음,"[['6', '단리', 1.4, 1.4], ['12', '단리', 2.05, 2.05], ['24', '단리', 2.1, 2.1], ['36', '단리', 2.15, 2.15], ['6', '복리', 1.4, 1.4], ['12', '복리', 2.05, 2.05], ['24', '복리', 2.1, 2.1], ['36', '복리', 2.15, 2.15]]"
59,240049,모아저축은행,정기예금,제한없음,,없음,"[['6', '단리', 1.5, 1.5], ['12', '단리', 1.8, 1.8], ['24', '단리', 1.8, 1.8], ['6', '복리', 1.5, 1.5], ['12', '복리', 1.8, 1.8], ['24', '복리', 1.8, 1.8]]"
60,240053,모아저축은행,e-모아 정기예금,제한 없음,,없음,"[['6', '단리', 1.5, 1.5], ['12', '단리', 2, 2], ['24', '단리', 2, 2], ['6', '복리', 1.5, 1.5], ['12', '복리', 2, 2], ['24', '복리', 2, 2]]"
61,240055,모아저축은행,회전 정기예금,제한없음,,없음,"[['12', '단리', 1.9, 1.9], ['12', '복리', 1.9, 1.9]]"
62,240059,JT친애저축은행,회전식 정기예금,제한없음,,"(우대조건)
- 가입시 정기예금 12개월금리+0.1% 
- 가입후 매1년경과시 해당시점 정기예금 12개월금리+0.1%
- 완료된 회전주기기간은 중도해지시에도 약정금리제공
(미완료된 회전주기기간은 당행 중도해지이자율 적용)","[['12', '단리', 1.9, 1.9], ['24', '단리', 1.9, 1.9], ['36', '단리', 1.9, 1.9], ['12', '복리', 1.9, 1.9], ['24', '복리', 1.9, 1.9], ['36', '복리', 1.9, 1.9]]"
63,24-0001,페퍼저축은행,정기예금,제한없음,,우대사항없음,"[['6', '단리', 1.5, 1.5], ['12', '단리', 1.9, 1.9], ['24', '단리', 1.95, 1.95], ['36', '단리', 2, 2], ['6', '복리', 1.5, 1.5], ['12', '복리', 1.9, 1.9], ['24', '복리', 1.95, 1.95], ['36', '복리', 2, 2]]"
64,24-0002,한성저축은행,정기예금,제한없음,,없음,"[['6', '단리', 1.5, 1.5], ['12', '단리', 1.9, 1.9], ['6', '복리', 1.5, 1.5], ['12', '복리', 1.9, 1.9]]"
65,24-0003,안국저축은행,정기예금(비대면),제한없음,,없음,"[['6', '단리', 1.5, 1.5], ['12', '단리', 2.1, 2.1], ['24', '단리', 2.1, 2.1], ['6', '복리', 1.5, 1.5], ['12', '복리', 2.1, 2.1], ['24', '복리', 2.1, 2.1]]"
66,NY240001,남양저축은행,정기예금,누구나,,인터넷뱅킹 상품 가입 우대금리 0.1%,"[['6', '단리', 1.4, 1.5], ['12', '단리', 1.9, 2], ['24', '단리', 2, 2.1], ['36', '단리', 2, 2.1], ['6', '복리', 1.4, 1.5], ['12', '복리', 1.9, 2], ['24', '복리', 2, 2.1], ['36', '복리', 2, 2.1]]"
67,NY240009,남양저축은행,비대면-정기예금,"1. 만19세이상 내국인 개인고객
2. 본인 스마트폰 소지자
3. 타기관 OTP 소지자
4. 신분증(주민등록증 또는 운전면허증)소지자
5. 최근 30일이내 전은행에서 입출금통장 개설내역이 없는 고객
6. 미국인 납세자에 해당하지 않는 고객",,없음,"[['6', '단리', 1.5, 1.5], ['12', '단리', 2, 2], ['24', '단리', 2.1, 2.1], ['36', '단리', 2.1, 2.1], ['6', '복리', 1.5, 1.5], ['12', '복리', 2, 2], ['24', '복리', 2.1, 2.1], ['36', '복리', 2.1, 2.1]]"
